label,case,toy,variant,group,seed,epoch,time_to_ceiling,final_within_ceiling,action_rate,mean_policy_action_probability_post_local,mean_policy_action_probability_post_social,policy_action_probability_post_social_gt_0p7_rate,domain_revision_advantage_mean,domain_revision_advantage_positive_rate,revision_pressure_proxy,revision_pressure_active,social_revision_pressure_proxy,policy_readiness_proxy,pressure_policy_gap,pressure_action_gap,realized_revision_rate,precommitment_rate,precommitment_mean_evidence,commitment_rate
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,19,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,20,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,21,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,22,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,23,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,24,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,25,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,26,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,27,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,28,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,29,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
