label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,5,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101403_663593_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p3_a0p0_seed05,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,1,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101403_941384_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p3_a0p25_seed01,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,2,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101404_288866_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p3_a0p25_seed02,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,3,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101404_670345_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p3_a0p25_seed03,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,4,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101405_014840_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p3_a0p25_seed04,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,5,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101405_380083_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p3_a0p25_seed05,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,rd_well_mixed,none,none,1,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101405_755439_toy2_basin_sweep_seeds01_05_soft_pd_rd_well_mixed_p0p3_reference_seed01,0.00010207018229555943,1.0001947162236822,0.00010207018229555943,0,0.0,0
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,1,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101405_810144_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p5_a0p0_seed01,0.29,1.4860000000000002,0.31787943840026855,18,0.07,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,2,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101409_358594_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p5_a0p0_seed02,0.3,1.5220000000000002,0.35101157426834106,12,0.12,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,3,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101413_114155_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p5_a0p0_seed03,0.35,1.6159999999999999,0.2783181369304657,9,0.13,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,4,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101416_752576_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p5_a0p0_seed04,0.34,1.6060000000000003,0.3449288308620453,8,0.14,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,5,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101420_568460_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p5_a0p0_seed05,0.31,1.5360000000000003,0.31931445002555847,12,0.09,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,1,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101424_496298_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p5_a0p25_seed01,0.28,1.474,0.2577441930770874,15,0.09,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,2,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101431_141412_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p5_a0p25_seed02,0.27,1.4660000000000002,0.2903846502304077,11,0.1,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,3,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101437_726695_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p5_a0p25_seed03,0.28,1.4880000000000002,0.22481590509414673,9,0.05,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,4,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101443_995607_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p5_a0p25_seed04,0.3,1.508,0.2886108458042145,16,0.07,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,5,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101450_782114_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p5_a0p25_seed05,0.27,1.4680000000000002,0.27155956625938416,11,0.08,1
