label,threshold_group_fraction,coordination_gate_mode,environment_threshold,benefit,action_cost,payoff_learning_rate,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seeds,final_action_rate_mean,final_action_rate_std,final_mean_payoff_mean,final_mean_payoff_std,final_group_action_rate_gap_mean,final_group_action_rate_gap_std,final_fragmentation_components_mean
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.642,0.08167006795638164,0.4661949999999999,0.0503497491785902,0.642,0.08167006795638164,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.364,0.07162401831787993,0.2530292857142857,0.02943666924387793,0.364,0.07162401831787993,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.32,0.07778174593052022,0.23581,0.02849496849606676,0.32,0.07778174593052022,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.094,0.01341640786499874,0.23976999999999998,0.00780621669777703,0.094,0.01341640786499874,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.082,0.01923538406167135,0.2436221428571428,0.013298844654053718,0.082,0.01923538406167135,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.022000000000000002,0.01643167672515498,0.27782642857142853,0.015415930171780896,0.022000000000000002,0.01643167672515498,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.026000000000000002,0.02302172886644268,0.27612642857142855,0.01954083401182128,0.026000000000000002,0.02302172886644268,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.6599999999999999,0.07314369419163895,0.4690471428571429,0.04457857038421043,0.344,0.08648699324175861,2.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.62,0.06204836822995428,0.41453999999999996,0.03344924988100688,0.33599999999999997,0.06228964600958977,2.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.35,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.364,0.07162401831787993,0.2530292857142857,0.02943666924387793,0.352,0.010954451150103312,2.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.35,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.27999999999999997,0.06284902544988268,0.21873357142857142,0.04208083265622029,0.264,0.03847076812334269,2.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.55,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.094,0.01341640786499874,0.23976999999999998,0.00780621669777703,0.164,0.035777087639996624,2.0
