label,case,seed,mixer,peer_rule,init_mode,alpha,threshold,run_dir,final_mean_global_accuracy,final_mean_consensus,final_fragmentation_components
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,0.8,experiments/runs/20260429_151102_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p0_t0p8_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,0.95,experiments/runs/20260429_151112_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p0_t0p95_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,0.6,experiments/runs/20260429_151122_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p1_t0p6_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,0.8,experiments/runs/20260429_151132_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p1_t0p8_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,0.95,experiments/runs/20260429_151142_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p1_t0p95_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.25,0.6,experiments/runs/20260429_151152_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p25_t0p6_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.25,0.8,experiments/runs/20260429_151202_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p25_t0p8_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.25,0.95,experiments/runs/20260429_151213_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p25_t0p95_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.5,0.6,experiments/runs/20260429_151223_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p5_t0p6_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.5,0.8,experiments/runs/20260429_151235_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p5_t0p8_seed01,0.891972005367279,0.9494339923469388,50
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.5,0.95,experiments/runs/20260429_151244_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p5_t0p95_seed01,0.891972005367279,0.9494339923469388,50
