toy,scenario,peer_rule,training_backend,resolved_training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_trainable_parameters,7.10049644112587e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_mix,0.00034006405621767044
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_loss_forward,0.00027636298909783363
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_autograd_grad,0.0007165868300944567
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_adam_update,0.03839014004915953
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_optimizer_update,0.03941047308035195
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_loss_update,0.040095139062032104
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_distillation,0.04062962206080556
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_step,0.040656994096934795
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,sample_actions,1.493142917752266e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,commit_actions,6.461981683969498e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,post_step_state_policy,3.313296474516392e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,update_payoff_ema,2.7070986106991768e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,update_reputation_ema,1.7584068700671196e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,mobility_swaps,2.431590110063553e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,finalize_hook_step,1.005898229777813e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,hooked_step_total,0.06363238394260406
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,aggregate_row,0.022238995181396604
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,write_aggregate,6.902101449668407e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,sample_revision_mask,2.3203901946544647e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,build_step_context,8.576083928346634e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,build_observations,0.00040290295146405697
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,policy_readout,0.0008664310444146395
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,decision_selection,0.0009235090110450983
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_trainable_parameters,0.0003176222089678049
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_loss_forward,0.0005749089177697897
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_autograd_grad,0.0008427461143583059
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_adam_update,0.015482357004657388
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_optimizer_update,0.01661274884827435
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_loss_update,0.017314187018200755
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_training,0.017659209901466966
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,cache_refresh,4.769070073962212e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,post_local_readout,0.0002780670765787363
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_step,0.020489390939474106
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,select_peers,5.941302515566349e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_trainable_parameters,0.00012720120139420033
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_mix,0.00035987095907330513
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_loss_forward,0.00029229396022856236
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_autograd_grad,0.0007495698519051075
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_adam_update,0.043355375062674284
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_optimizer_update,0.04454883490689099
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_loss_update,0.045286142034456134
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_distillation,0.045838359044864774
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,social_step,0.04585115215741098
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,sample_actions,1.2230593711137772e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,commit_actions,3.85800376534462e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,post_step_state_policy,2.8954120352864265e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,update_payoff_ema,2.9005110263824463e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,update_reputation_ema,1.7141923308372498e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,mobility_swaps,2.3585045710206032e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,finalize_hook_step,1.0620104148983955e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,hooked_step_total,0.06727631599642336
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,aggregate_row,0.02154732495546341
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,write_aggregate,6.70070294290781e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,4,neural_policy,output_average,sample_revision_mask,1.6260892152786255e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,4,neural_policy,output_average,build_step_context,5.009118467569351e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,4,neural_policy,output_average,build_observations,0.0002492519561201334
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,4,neural_policy,output_average,policy_readout,0.0003928039222955704
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,4,neural_policy,output_average,decision_selection,0.0011594060342758894
