condition,update_rule,policy_prior_mode,learning_enabled,p0,revision_rate,epoch,seeds,cooperation_mean,policy_pre_mean,policy_post_social_mean,revised_local_loss_mean
neural_match_p0_learn,neural_policy,match_p0,True,0.3,0.1,10,3,0.32666666666666666,0.2949035167694091,0.2939816315968831,0.06658897449196584
neural_match_p0_learn,neural_policy,match_p0,True,0.3,0.1,25,3,0.29000000000000004,0.2789563834667205,0.2777221500873565,-0.0435815584063769
neural_match_p0_learn,neural_policy,match_p0,True,0.3,0.1,50,3,0.3233333333333333,0.25362850228945416,0.25257204473018646,-0.15126279946744964
neural_match_p0_learn,neural_policy,match_p0,True,0.5,0.1,0,3,0.48333333333333334,0.5,0.5,0.0
neural_match_p0_learn,neural_policy,match_p0,True,0.5,0.1,1,3,0.49333333333333335,0.5,0.5001220007737478,0.40595619045036696
neural_match_p0_learn,neural_policy,match_p0,True,0.5,0.1,5,3,0.49333333333333335,0.5011434356371561,0.5008253256479899,0.2268700340583065
neural_match_p0_learn,neural_policy,match_p0,True,0.5,0.1,10,3,0.5033333333333333,0.5010708967844645,0.5007322033246359,0.15000382853634278
neural_match_p0_learn,neural_policy,match_p0,True,0.5,0.1,25,3,0.49,0.491559366385142,0.49049946665763855,0.0310600361984646
neural_match_p0_learn,neural_policy,match_p0,True,0.5,0.1,50,3,0.54,0.475622296333313,0.475047081708908,-0.022865532905870265
neural_match_p0_learn,neural_policy,match_p0,True,0.6,0.1,0,3,0.5866666666666666,0.6000000238418579,0.6000000238418579,0.0
neural_match_p0_learn,neural_policy,match_p0,True,0.6,0.1,1,3,0.59,0.6000000238418579,0.6001735726992289,0.4458789910008381
neural_match_p0_learn,neural_policy,match_p0,True,0.6,0.1,5,3,0.5866666666666667,0.6011683742205302,0.6012240648269653,0.2582040329235971
neural_match_p0_learn,neural_policy,match_p0,True,0.6,0.1,10,3,0.6,0.6022017002105713,0.6018965641657511,0.17282575719773466
neural_match_p0_learn,neural_policy,match_p0,True,0.6,0.1,25,3,0.58,0.5976828138033549,0.5973867774009705,0.058162171762920996
neural_match_p0_learn,neural_policy,match_p0,True,0.6,0.1,50,3,0.6366666666666667,0.5885111490885416,0.5883194406827291,0.006494805339174567
neural_match_p0_learn,neural_policy,match_p0,True,0.7,0.1,0,3,0.71,0.6999998688697815,0.6999998688697815,0.0
neural_match_p0_learn,neural_policy,match_p0,True,0.7,0.1,1,3,0.7066666666666667,0.6999998688697815,0.7003140449523926,0.44237017670235074
neural_match_p0_learn,neural_policy,match_p0,True,0.7,0.1,5,3,0.71,0.702228844165802,0.7027931412061056,0.2590606980470013
neural_match_p0_learn,neural_policy,match_p0,True,0.7,0.1,10,3,0.7133333333333333,0.7048989534378052,0.7049737771352133,0.1857327198976594
neural_match_p0_learn,neural_policy,match_p0,True,0.7,0.1,25,3,0.69,0.7070157527923584,0.7071737249692281,0.03484283960270847
neural_match_p0_learn,neural_policy,match_p0,True,0.7,0.1,50,3,0.7400000000000001,0.7107107043266296,0.7110649545987447,0.021578096442370336
neural_match_p0_learn,neural_policy,match_p0,True,0.9,0.1,0,3,0.9266666666666667,0.8999999165534973,0.8999999165534973,0.0
neural_match_p0_learn,neural_policy,match_p0,True,0.9,0.1,1,3,0.9199999999999999,0.8999999165534973,0.9003097216288248,0.4008004853832516
neural_match_p0_learn,neural_policy,match_p0,True,0.9,0.1,5,3,0.9199999999999999,0.9022641976674398,0.9027644793192545,0.17891914116982088
neural_match_p0_learn,neural_policy,match_p0,True,0.9,0.1,10,3,0.9333333333333332,0.904861569404602,0.9053201874097189,0.07011792808771129
neural_match_p0_learn,neural_policy,match_p0,True,0.9,0.1,25,3,0.8833333333333333,0.9121843973795573,0.9126818180084229,0.0034746502926627995
neural_match_p0_learn,neural_policy,match_p0,True,0.9,0.1,50,3,0.9166666666666666,0.9211747248967489,0.9214454293251038,-0.0247170758422695
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0.1,0,3,0.09000000000000001,0.1000000014901161,0.1000000014901161,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0.1,1,3,0.09999999999999999,0.1000000014901161,0.1000000014901161,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0.1,5,3,0.09333333333333334,0.1000000014901161,0.1000000014901161,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0.1,10,3,0.08666666666666667,0.1000000014901161,0.1000000014901161,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0.1,25,3,0.11333333333333333,0.1000000014901161,0.1000000014901161,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0.1,50,3,0.15333333333333335,0.1000000014901161,0.1000000014901161,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.3,0.1,0,3,0.3133333333333333,0.3000000119209289,0.3000000119209289,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.3,0.1,1,3,0.31,0.3000000119209289,0.3000000119209289,0.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.3,0.1,5,3,0.31666666666666665,0.3000000119209289,0.3000000119209289,0.0
