toy,device,agent_count,stage,batched_seconds_per_epoch,tensor_batched_seconds_per_epoch,speedup,tensor_minus_batched_seconds_per_epoch,tensor_share_of_steady_state_pct,tensor_share_of_hooked_step_pct
toy4,cuda,1024,decision_selection,0.006460009414392213,0.006716733061087628,0.9617784949378584,0.0002567236466954146,12.363056191173476,12.408861438356482
toy4,cuda,1024,finalize_hook_step,4.962487922360499e-05,3.453984002893169e-05,1.4367431691066774,-1.50850391946733e-05,0.06323421520781551,0.0634692103621728
toy4,cuda,1024,hooked_step_total,0.36508352023471763,0.054105486561699466,6.747624750003732,-0.3109780336730182,99.63145071953409,100.0
toy4,cuda,1024,local_adam_update,0.06880471934564412,0.0033329717970142763,20.6436548329873,-0.06547174754862985,6.132201100931646,6.154912059533079
toy4,cuda,1024,local_autograd_grad,0.009607466345187277,0.005931775570691873,1.619661133616806,-0.0036756907744954033,11.03712399090258,11.077594277563689
toy4,cuda,1024,local_loss_forward,0.013895784326208133,0.003017369797453284,4.605263941442123,-0.010878414528754848,5.533896810767275,5.554514508896349
toy4,cuda,1024,local_loss_update,0.12206759493953238,0.013273740699514746,9.196171426189972,-0.10879385424001764,24.52656366298731,24.617142369670756
toy4,cuda,1024,local_optimizer_update,0.07978933439978088,0.010185395173418025,7.833700415278546,-0.06960393922636285,18.862570971881862,18.93204734403899
toy4,cuda,1024,local_step,0.15117352469048154,0.04085922552815949,3.6998627050895836,-0.11031429916232205,75.3330498668377,75.6117902850851
toy4,cuda,1024,local_trainable_parameters,0.0004540945364472767,0.00042490436850736534,1.068698206239801,-2.9190167939911337e-05,0.7805090932244916,0.7834245278689518
toy4,cuda,1024,local_training,0.12265787945749858,0.01395640338305384,8.788645332968262,-0.10870147607444473,25.77906920572705,25.874332855046674
toy4,cuda,1024,mobility_swaps,0.00012797679907331863,9.675938636064529e-05,1.3226292961007278,-3.1217412712673345e-05,0.17693480547610344,0.177594148937543
toy4,cuda,1024,policy_readout,0.004192427495339265,0.0043546308026028175,0.962751536326202,0.0001622033072635528,7.9968182726661645,8.02655060234804
toy4,cuda,1024,post_local_readout,0.001835036266129464,0.0007899587663511436,2.322951961917686,-0.0010450774997783204,1.4684999229901188,1.4739183681264851
toy4,cuda,1024,post_step_state_policy,0.00014515853254124523,0.00012722232689460117,1.1409831598309275,-1.7936205646644054e-05,0.2332853988595882,0.23415483594502703
toy4,cuda,1024,sample_actions,1.906363759189844e-05,1.2012881537278492e-05,1.5869329546570465,-7.050756054619949e-06,0.021943106172517175,0.022025204109636373
toy4,cuda,1024,sample_revision_mask,0.00024875393913437925,0.00020066514844074845,1.239646949494223,-4.80887906936308e-05,0.3685492804659097,0.36992462515491703
toy4,cuda,1024,select_peers,0.0004273703748670717,0.000355969334486872,1.2005819981182477,-7.140104038019969e-05,0.6500511560119443,0.6524909763459346
toy4,cuda,1024,social_adam_update,0.18049928476490704,0.002290701804061731,78.79650002669787,-0.1782085829608453,4.212004363942364,4.227355644629522
toy4,cuda,1024,social_autograd_grad,0.0038509667928641046,0.0018532801691132285,2.0779193869574204,-0.001997686623750876,3.4133169623136754,3.4258635297668527
toy4,cuda,1024,social_distillation,0.19949116537269826,0.008857896854169668,22.52127888334938,-0.1906332685185286,16.265425479659218,16.325325009841716
toy4,cuda,1024,social_loss_forward,0.0009718079818412662,0.0006663975693906348,1.4583006098445164,-0.00030541041245063137,1.2243519807940955,1.228881440343096
toy4,cuda,1024,social_loss_update,0.19251825769121447,0.0,inf,-0.19251825769121447,0.0,0.0
toy4,cuda,1024,social_mix,0.004411846686465045,0.0017616585905974112,2.504371000154409,-0.0026501880958676336,3.227360553486618,3.2394078066242664
toy4,cuda,1024,social_optimizer_update,0.18644201707017297,0.004882300998239468,38.18732543065308,-0.1815597160719335,8.98425845720426,9.017087293242115
toy4,cuda,1024,social_step,0.19957636481849475,0.008918384144393107,22.378085714548,-0.19065798067410164,16.3759176790699,16.436231648214484
toy4,cuda,1024,social_trainable_parameters,0.00019085205082471174,0.0,inf,-0.00019085205082471174,0.0,0.0
toy4,cuda,1024,steady_state_total,0.36533227417385206,0.054306151710140214,6.72727237466241,-0.31102612246371186,100.0,100.36992462515491
toy4,cuda,1024,update_payoff_ema,0.00020758764973531166,0.00014621083003779254,1.4197829920099247,-6.137681969751912e-05,0.2671859980854315,0.26818321481583596
toy4,cuda,1024,update_reputation_ema,9.087754103044668e-05,7.524867154036959e-05,1.2076962844678591,-1.56288694900771e-05,0.13775296655378352,0.13826466131529414
toy4,cuda,2048,build_observations,0.025304017619540292,0.023341906582936642,1.0840595874048262,-0.0019621110366036497,34.013445792185536,34.0950329939076
toy4,cuda,2048,build_step_context,5.3010904230177404e-05,5.169340486948688e-05,1.0254867978616786,-1.3174993606905215e-06,0.07189493549407666,0.07207411598052381
toy4,cuda,2048,cache_refresh,8.431430129955213e-05,2.2746401373296977e-05,3.7067094665151066,-6.156789992625515e-05,0.032090685962833994,0.032168733167938814
toy4,cuda,2048,commit_actions,4.846220447992285e-05,2.3929995950311423e-05,2.025165594701748,-2.453220852961143e-05,0.032441208143424376,0.03252255339744873
toy4,cuda,2048,decision_selection,0.013041292030053836,0.012664535315707326,1.0297489568274356,-0.0003767567143465097,18.77909752719675,18.823665073130794
toy4,cuda,2048,finalize_hook_step,5.955098507304986e-05,5.849153967574239e-05,1.0181127972212851,-1.0594453973074736e-06,0.07108362100337078,0.0712735354961122
toy4,cuda,2048,hooked_step_total,1.1194467042922043,0.0715898609914196,15.636944796224363,-1.0478568433007847,99.754201675746,100.0
toy4,cuda,2048,local_adam_update,0.11395924057190616,0.0033654781873337924,33.86123285564577,-0.11059376238457237,4.391861208752897,4.403118470643296
toy4,cuda,2048,local_autograd_grad,0.005997310970754673,0.004139786675417175,1.4487004865172943,-0.0018575242953374985,5.590864126166455,5.604938049097313
toy4,cuda,2048,local_loss_forward,0.003652064467314631,0.0028902515070512893,1.2635801619356521,-0.0007618129602633417,3.9850066293767585,3.9948901289600656
toy4,cuda,2048,local_loss_update,0.22729934011974062,0.011924651699761549,19.061298043974386,-0.2153746884199791,16.072553567311175,16.112991608711496
toy4,cuda,2048,local_optimizer_update,0.12298659067212914,0.008961569226812571,13.723778454353658,-0.11402502144531657,11.987040087655751,12.01734591227459
toy4,cuda,2048,local_step,0.2800209751740719,0.057004027227715894,4.912301617839433,-0.223016947946356,80.99049689422557,81.1877646998625
toy4,cuda,2048,local_trainable_parameters,0.0005756496878651282,0.0005739049714369079,1.0030400789591558,-1.744716428220272e-06,0.7988019277299209,0.8007697875943305
toy4,cuda,2048,local_training,0.22806762255107363,0.013026742707006633,17.5076477428547,-0.215040879844067,17.610376466075515,17.654601120157952
toy4,cuda,2048,mobility_swaps,0.0001773973306020101,8.843711111694574e-05,2.0059150322925734,-8.896021948506436e-05,0.11877029411917743,0.11906898533629769
toy4,cuda,2048,policy_readout,0.004464140763351073,0.0036213297008847196,1.2327352470172621,-0.000842811062466353,4.892084673954122,4.904416051936474
toy4,cuda,2048,post_local_readout,0.003211025420265893,0.0010361455652552346,3.0990099537557914,-0.0021748798550106584,1.2989089267923795,1.3023030834238023
toy4,cuda,2048,post_step_state_policy,0.00020565247784058252,0.00012084386544302106,1.7018032076899217,-8.480861239756146e-05,0.16512298058459143,0.16553820205672268
toy4,cuda,2048,sample_actions,2.2614301027109226e-05,9.79097094386816e-06,2.309709747557978,-1.2823330083241065e-05,0.01394713511917856,0.013981119661872854
toy4,cuda,2048,sample_revision_mask,0.0002195191957677404,0.00018533932355542979,1.1844178102985703,-3.417987221231061e-05,0.24579832425399828,0.24642364741129272
toy4,cuda,2048,select_peers,0.0005753418779931963,0.00041296913598974546,1.3931837221062515,-0.00016237274200345085,0.5441485501920593,0.5455405101995563
toy4,cuda,2048,social_adam_update,0.8049275441056428,0.002016498357988894,399.17093952331203,-0.8029110457476539,2.555212239986243,2.5618670164521316
toy4,cuda,2048,social_autograd_grad,0.004645552136935294,0.00188520944211632,2.4642100941952827,-0.002760342694818974,2.334896675208628,2.341066488787915
toy4,cuda,2048,social_distillation,0.8279212260230754,0.009474540397059172,87.38378763787382,-0.8184466856260162,12.19262142670962,12.224096471778948
toy4,cuda,2048,social_loss_forward,0.0014647453053233525,0.0008289656951092184,1.7669552720518409,-0.000635779610214134,1.0477149105748909,1.0504456699124194
toy4,cuda,2048,social_loss_update,0.818194716644939,0.0,inf,-0.818194716644939,0.0,0.0
toy4,cuda,2048,social_mix,0.003107581737761696,0.0019853761846510072,1.5652357280129015,-0.0011222055531106886,2.6538461738277728,2.6605418574283526
toy4,cuda,2048,social_optimizer_update,0.8127840985893272,0.004827674757689237,168.3593322633784,-0.807956423831638,6.117623604406435,6.133558379609382
toy4,cuda,2048,social_step,0.8280394816383098,0.009535581346911688,86.83681167551352,-0.8185039002913981,12.27526161665911,12.306945071032365
toy4,cuda,2048,social_trainable_parameters,0.00025223270058631896,0.0,inf,-0.00025223270058631896,0.0,0.0
toy4,cuda,2048,steady_state_total,1.119666223487972,0.07177520031497503,15.5996251988776,-1.047891023172997,100.0,100.24642364741129
toy4,cuda,2048,update_payoff_ema,0.00040881833604847396,0.00016472582162047424,2.481810878384235,-0.00024409251442799972,0.21841190886363104,0.218965707710665
toy4,cuda,2048,update_reputation_ema,0.0001407589646987617,8.318906960388024e-05,1.6920367708042763,-5.7569895094881465e-05,0.11068827004545216,0.11096859974641343
