label,game_family,update_rule,mixer,peer_rule,policy_prior_mode,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,p0_count,cooperation_slope,policy_cooperation_slope
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,42,5,1.1080000000000005,1.1262337088584904
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,43,5,1.1360000000000021,1.1340609788894658
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,44,5,1.0600000000000012,1.136242949962617
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,45,5,1.0920000000000007,1.051607358455659
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,46,5,1.1000000000000014,1.0799109101295488
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,47,5,1.164000000000001,1.1348651170730604
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,48,5,1.244000000000001,1.2308104753494273
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,49,5,1.3120000000000007,1.2956494212150582
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,50,5,1.4000000000000006,1.3749748468399061
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,0,5,1.0520000000000005,1.0519999980926524
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,1,5,1.0640000000000007,1.0852973461151116
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,2,5,1.0040000000000002,1.0455327987670908
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,3,5,0.9880000000000003,1.0045693159103402
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,4,5,1.0480000000000007,1.00702178478241
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,5,5,1.168,1.138916563987733
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,6,5,1.1480000000000012,1.1497289419174204
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,7,5,1.2000000000000004,1.193716669082642
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,8,5,1.2639999999999998,1.1983325958251958
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,9,5,1.3399999999999996,1.2925603628158573
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,10,5,1.336,1.3866294503211987
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,11,5,1.4200000000000013,1.3561956524848937
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,12,5,1.3839999999999997,1.426599061489106
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,13,5,1.4320000000000002,1.4241267561912545
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,14,5,1.468000000000001,1.475405430793763
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,15,5,1.464,1.5153087854385383
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,16,5,1.5120000000000005,1.5070436358451849
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,17,5,1.5480000000000014,1.549478161334992
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,18,5,1.6920000000000004,1.6597585320472716
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,19,5,1.7240000000000004,1.667663991451264
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,20,5,1.7720000000000005,1.7279543638229375
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,21,5,1.7320000000000015,1.7530703306198137
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,22,5,1.8000000000000007,1.8360223650932324
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,23,5,1.7640000000000007,1.8671524286270158
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,24,5,1.752000000000001,1.7940743446350111
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,25,5,1.7560000000000002,1.7365265965461738
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,26,5,1.808,1.7994516372680671
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,27,5,1.824000000000001,1.8510771155357375
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,28,5,1.852,1.906003344058992
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,29,5,1.9560000000000008,1.94735827445984
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,30,5,2.008000000000001,2.013075304031373
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,31,5,1.9720000000000015,1.9984748244285597
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,32,5,2.020000000000001,1.9169417083263407
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,33,5,2.000000000000001,1.979281795024872
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,34,5,2.024000000000001,2.0530454814434065
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,35,5,2.1160000000000005,2.0460213541984564
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,36,5,2.224000000000001,2.219819259643556
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,37,5,2.2240000000000006,2.2244519412517563
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,38,5,2.2480000000000007,2.2850714564323438
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,39,5,2.256000000000001,2.2255154371261607
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,40,5,2.4160000000000004,2.3476030111312878
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,41,5,2.4840000000000018,2.5103446364402786
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,42,5,2.5440000000000014,2.552181547880174
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,43,5,2.624000000000002,2.58034384250641
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,44,5,2.7920000000000016,2.7294829607009894
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,45,5,2.8480000000000016,2.875539216399195
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,46,5,2.8280000000000007,2.885387429594995
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,47,5,2.8680000000000017,2.91189096271992
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,48,5,2.896000000000001,2.8982253044843698
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,49,5,2.9640000000000017,2.9216989189386386
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,50,5,2.960000000000001,2.943897575140001
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,0,5,1.0520000000000005,0.9999996423721321
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,1,5,0.9880000000000008,1.0517655849456793
