label,recovery_rate,extraction_cost,dynamic_rewire_rate,initial_price_expectation_mean,initial_conservation_norm_mean,social_harvest_gain,social_disagreement_penalty,conservation_harvest_weight,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_market_price,domain_final_market_imbalance,domain_final_mean_harvest_intensity,domain_final_mean_price_expectation,domain_final_mean_conservation_norm,domain_final_mean_payoff,domain_cumulative_rewired_edge_count,final_fragmentation_components
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_191638_393418_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0_t0_seed03,0.6660778895564912,66.60778895564911,0.6492473980498763,0.15098734595194108,0.4950149002956231,0.646523260274265,0.3199210203486277,0.1079492473080593,158,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_191638_501017_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0p25_t0_seed01,0.6659548038173067,66.59548038173067,0.6496702237314546,0.15292595186213015,0.49282899120155804,0.6464040616548471,0.3203034341936633,0.1078495869825149,132,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_191638_642855_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0p25_t0_seed02,0.6654953968206719,66.54953968206719,0.6493228499658303,0.1514643908461047,0.49436261817111155,0.6463920244017154,0.3207502162832288,0.1076337607773061,136,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_191638_789934_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0p25_t0_seed03,0.6660216780929794,66.60216780929794,0.6492783473990184,0.1510658809212993,0.49498162775347493,0.646563437776806,0.32004863494882685,0.10793002402354493,158,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.5,0.0,1,25,experiments/runs/20260511_191638_937428_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0p5_t0_seed01,0.66597743997179,66.59774399717901,0.6496570392207575,0.1529046210224551,0.4928189148381195,0.6463757075324105,0.3202761159916991,0.10785466698040203,132,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.5,0.0,2,25,experiments/runs/20260511_191639_085404_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0p5_t0_seed02,0.6655173390474203,66.55173390474202,0.6493143554151433,0.15144603560696535,0.4943653504466423,0.6463774756172662,0.3207216979862109,0.10764149072522812,136,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.5,0.0,3,25,experiments/runs/20260511_191639_236720_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0p5_t0_seed03,0.6660441364696774,66.60441364696774,0.6492689479077468,0.15104649792812685,0.4949827957747335,0.6465464575455132,0.3200194646692981,0.10793749910200949,158,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_191639_381300_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0_t0_seed01,0.6660194111934576,66.60194111934577,0.6496288793309593,0.15283880830001934,0.49283790072379835,0.6463352677360933,0.32017275276437934,0.10786725109727695,132,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_191639_487335_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0_t0_seed02,0.6655105794304546,66.55105794304545,0.6493209119730063,0.15144380066525853,0.4943960465615078,0.6464035277173873,0.3207058616006073,0.10764331831041087,136,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_191639_595089_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0_t0_seed03,0.6660778895564912,66.60778895564911,0.6492473980498763,0.15098734595194108,0.4950149002956231,0.646523260274265,0.3199210203486277,0.1079492473080593,158,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_191639_701416_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p25_t0_seed01,0.6659461005037534,66.59461005037534,0.649666853111585,0.15288957430102101,0.4928882638442975,0.6464134691405059,0.32019010833880945,0.10785053780620547,132,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_191639_847324_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p25_t0_seed02,0.6654842887835782,66.54842887835783,0.6493213950988824,0.1514327349132099,0.4944201105691098,0.6464036216101491,0.3206364240069689,0.10763400110762744,136,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_191639_993659_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p25_t0_seed03,0.6660058756938878,66.60058756938878,0.6492770567717819,0.15103253788769105,0.49504315131174564,0.6465767341165113,0.31993075300159296,0.10792853341760557,158,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.5,0.0,1,25,experiments/runs/20260511_191640_140626_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p5_t0_seed01,0.6659581095201268,66.59581095201268,0.6496565135997625,0.1528790997448835,0.49286785490928325,0.6463849535244357,0.3201512780908276,0.10785050634933531,132,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.5,0.0,2,25,experiments/runs/20260511_191640_289085_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p5_t0_seed02,0.6654925254209637,66.54925254209637,0.6493162819369871,0.1514255162742646,0.4944140951994196,0.6463902229182453,0.3205996799011048,0.10763553624063579,136,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.5,0.0,3,25,experiments/runs/20260511_191640_441595_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p5_t0_seed03,0.6660224642317738,66.60224642317738,0.6492705308461614,0.1510234672289515,0.49503518892674264,0.6465597797328432,0.3198788462657189,0.10793334383700869,158,1
