label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,28,5,0.4720000000000001,0.06457553716385177,0.46536123752593994,0.06819956062806892,2.4699999999999998,0.19909168742064556,0.0,0.0,0.0,0.256
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,29,5,0.4779999999999999,0.07694153624668537,0.47586153745651244,0.07326136615061585,2.479,0.22336629110051484,0.0,0.0,0.0,0.244
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,30,5,0.472,0.0804363102087608,0.46073304414749144,0.06413842052208561,2.476,0.23820684289079522,0.0,0.0,0.0,0.288
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,31,5,0.4640000000000001,0.07368853370776217,0.47591673731803896,0.0752103821661926,2.4899999999999998,0.22806249143600954,0.0,0.0,0.0,0.272
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,32,5,0.45999999999999996,0.06892024376045112,0.46244134902954104,0.07536593575232314,2.479,0.19809719836484307,0.0,0.0,0.0,0.254
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,33,5,0.4640000000000001,0.06655824516917495,0.46048239469528196,0.06615748043495605,2.4899999999999998,0.18648056198971502,0.0,0.0,0.0,0.248
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,34,5,0.4720000000000001,0.06457553716385178,0.4665225386619568,0.06471266789858199,2.509,0.19070264812005086,0.0,0.0,0.0,0.22600000000000003
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,35,5,0.462,0.07496665925596525,0.4691162943840027,0.0628063065972676,2.495,0.20435875317685812,0.0,0.0,0.0,0.246
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,36,5,0.45999999999999996,0.08455767262643882,0.45537465810775757,0.07785011452776883,2.494,0.23055368138461826,0.0,0.0,0.0,0.258
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,37,5,0.4699999999999999,0.101734949746879,0.4595647811889648,0.0977061105691635,2.508,0.26068659344124323,0.0,0.0,0.0,0.236
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,38,5,0.46799999999999997,0.09444575162494076,0.4656473696231842,0.09413691857636165,2.525,0.24253865671269806,0.0,0.0,0.0,0.238
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,39,5,0.48,0.08803408430829505,0.47379602789878844,0.08152454112745655,2.5490000000000004,0.22982058219402376,0.0,0.0,0.0,0.22999999999999998
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,40,5,0.4779999999999999,0.09757048734120374,0.4817620038986206,0.091789415286054,2.545,0.2605762844159077,0.0,0.0,0.0,0.266
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,41,5,0.4779999999999999,0.10059821071967431,0.47971168756484983,0.09830574876475395,2.5420000000000003,0.2528487690300271,0.0,0.0,0.0,0.23199999999999998
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,42,5,0.466,0.09016651263079883,0.4684083104133606,0.10632629957757365,2.497,0.2147847759968105,0.0,0.0,0.0,0.252
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,43,5,0.4779999999999999,0.0973139250056229,0.4763162970542908,0.09858306323662731,2.539,0.2186721289968156,0.0,0.0,0.0,0.23199999999999998
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,44,5,0.49000000000000005,0.07905694150420949,0.4852964997291565,0.09785524813619884,2.56,0.19896607751071557,0.0,0.0,0.0,0.27599999999999997
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,45,5,0.484,0.07700649323271386,0.48864694833755495,0.07631036239691552,2.5300000000000002,0.20015618901248086,0.0,0.0,0.0,0.238
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,46,5,0.4779999999999999,0.08555699854482975,0.48490939736366273,0.07947932329135235,2.521,0.22230047233418107,0.0,0.0,0.0,0.256
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,47,5,0.484,0.08876936408468859,0.476806104183197,0.0754093232143211,2.53,0.2376709910780027,0.0,0.0,0.0,0.278
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,48,5,0.466,0.10358571330062848,0.4683549165725708,0.09785951509674543,2.506,0.24249742266671617,0.0,0.0,0.0,0.22000000000000003
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,49,5,0.458,0.11388590782006348,0.45589466094970704,0.10840983132211927,2.475,0.24477030048598633,0.0,0.0,0.0,0.284
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,50,5,0.442,0.12316655390161728,0.4456296294927597,0.12721515232389716,2.4579999999999997,0.24229630620378848,0.0,0.0,0.0,0.266
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,0,5,0.54,0.026457513110645915,0.5399999976158142,0.02645751603934801,2.3645,0.09393149099210547,0.0,0.0,0.0,0.0
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,1,5,0.544,0.03781534080237805,0.5329472899436951,0.02816945884509092,2.3449999999999998,0.060285777758937495,0.0,0.0,0.0,0.21600000000000003
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,2,5,0.54,0.041833001326703805,0.539008092880249,0.031384291547262785,2.349,0.11918473056562229,0.0,0.0,0.0,0.264
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,3,5,0.556,0.03507135583350036,0.5435319066047668,0.036750225961365075,2.3899999999999997,0.10964431129794201,0.0,0.0,0.0,0.274
