condition,update_rule,policy_prior_mode,local_update_rule,learning_enabled,p0,revision_rate,epoch,seeds,cooperation_mean,policy_post_social_mean,local_loss_mean,revised_local_loss_mean
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.6,0.1,10,3,0.5933333333333333,0.5394505858421326,0.07558523302742587,0.07579030487404174
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.6,0.1,25,3,0.43333333333333335,0.386308491230011,0.12159517759779793,0.0765948886071869
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.6,0.1,50,3,0.2733333333333334,0.2104844550291697,0.06219157538708787,0.054096902360608205
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.7,0.1,0,3,0.71,0.6999998688697815,0.0,0.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.7,0.1,1,3,0.7066666666666667,0.7056241830190023,0.0917277746399243,0.087562031735912
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.7,0.1,5,3,0.71,0.7208759983380636,0.07838594465826944,0.06931284470479866
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.7,0.1,10,3,0.7200000000000001,0.7282862464586893,0.05912329887428006,0.0810805743447307
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.7,0.1,25,3,0.6666666666666666,0.6789925297101339,0.11398763308529543,0.10931032683453974
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.7,0.1,50,3,0.63,0.5820598304271698,0.06779112289599724,0.05886953080096186
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.9,0.1,0,3,0.9266666666666667,0.8999999165534973,0.0,0.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.9,0.1,1,3,0.9199999999999999,0.9063173135121664,0.0278040939973046,0.02624102483717197
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.9,0.1,5,3,0.9233333333333333,0.9337512652079264,0.019444974892151797,0.017793986759473333
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.9,0.1,10,3,0.94,0.963882565498352,0.012464581672102166,0.006979661241686401
