label,strategy_count,initial_distribution,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,payoff_profile,win_payoff,loss_payoff,draw_payoff,seed,epochs,run_dir,domain_final_mean_payoff,domain_final_strategy_entropy,domain_final_dominant_strategy,domain_final_dominant_strategy_fraction,final_fragmentation_components
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.8,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170402_261596_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0p5_t0p8_seed02,-0.16625,0.9939987916706561,1,0.36,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.8,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170404_833637_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0p5_t0p8_seed03,-0.1725,0.9999092749840701,1,0.34,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170407_377625_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0_t0_seed01,0.0,0.8350146792398998,0,0.6,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,baseline,1.0,-1.0,0.0,2,25,experiments/runs/20260511_170409_932046_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0_t0_seed02,0.0,0.9331583620686273,0,0.5,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,baseline,1.0,-1.0,0.0,3,25,experiments/runs/20260511_170412_446485_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0_t0_seed03,0.0,0.9038281766004537,0,0.54,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170414_966098_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0_t0p8_seed01,0.0,0.8350146792398998,0,0.6,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,baseline,1.0,-1.0,0.0,2,25,experiments/runs/20260511_170417_447506_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0_t0p8_seed02,0.0,0.9331583620686273,0,0.5,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,baseline,1.0,-1.0,0.0,3,25,experiments/runs/20260511_170419_950835_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0_t0p8_seed03,0.0,0.9038281766004537,0,0.54,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170422_458337_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0p5_t0_seed01,0.0,0.8479472121391743,0,0.58,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,baseline,1.0,-1.0,0.0,2,25,experiments/runs/20260511_170424_938447_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0p5_t0_seed02,0.0,0.9372305632161295,0,0.5,1
