toy,scenario,training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,write_aggregate,4.706892650574446e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,sample_revision_mask,1.3726064935326576e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,build_step_context,0.002695361035875976
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,build_observations,0.004071139032021165
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,policy_readout,0.0002881060354411602
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,decision_selection,0.00036218692548573017
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,local_training,0.5087228600168601
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,cache_refresh,0.02243768097832799
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,post_local_readout,0.004036442958749831
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,local_step,0.5403249469818547
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,select_peers,0.0007478479528799653
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,social_step,5.246000364422798e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,sample_actions,1.2119999155402184e-06
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,commit_actions,5.6848046369850636e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,post_step_state_policy,2.5528017431497574e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,update_reputation_ema,3.9874925278127193e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,finalize_hook_step,8.094939403235912e-06
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,hooked_step_total,0.5448435540311038
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,aggregate_row,0.011110294959507883
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,3,neural_policy,none,write_aggregate,8.274696301668882e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,0,neural_policy,none,make_run_dir,0.0004379110177978873
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,0,neural_policy,none,write_metadata,0.0025679690297693014
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,0,neural_policy,none,initial_state,0.719219816965051
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,0,neural_policy,none,writer_setup,0.0006099570309743285
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,0,neural_policy,none,initial_step_result,0.0028384720208123326
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,0,neural_policy,none,initial_aggregate_row,0.006956879980862141
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,0,neural_policy,none,write_initial_aggregate,3.960495814681053e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,sample_revision_mask,2.2183055989444256e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,build_step_context,0.002905228058807552
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,build_observations,0.005080802948214114
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,policy_readout,0.0018111540703102946
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,decision_selection,0.001207660068757832
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,local_training,0.5457839309237897
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,cache_refresh,0.029285003896802664
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,post_local_readout,0.0008707109373062849
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,local_step,0.5847555890213698
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,select_peers,0.0008545200107619166
