label,initial_active_fraction,initial_failed_fraction,base_activation_rate,peer_activation_rate,failure_rate,overload_failure_rate,recovery_rate,max_time,graph_k,graph_rewire_probability,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seeds,final_time_mean,final_active_fraction_mean,final_active_fraction_std,final_failed_fraction_mean,total_events_mean,activation_events_mean,failure_events_mean,recovery_events_mean,absorbed_rate,final_fragmentation_components_mean
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.08,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,4.134727809057425,0.366,0.026076809620810572,0.064,25.0,18.2,6.6,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.08,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,4.233015333317845,0.362,0.03193743884534264,0.066,25.0,18.0,6.8,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.08,0.01,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,4.243636338607413,0.358,0.030331501776206218,0.068,25.0,17.8,7.0,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,3.9810745001131744,0.36,0.024494897427831765,0.05800000000000001,25.0,17.6,6.6,0.8,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,4.0437578431314325,0.356,0.02966479394838263,0.06,25.0,17.4,6.8,0.8,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,4.079448064233079,0.354,0.027018512172212603,0.064,25.0,17.4,7.0,0.6,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,2.7538752761915406,0.41600000000000004,0.032863353450309954,0.041999999999999996,25.0,20.8,4.2,0.0,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,2.8570068241731152,0.398,0.020493901531919174,0.048,25.0,19.8,5.0,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,2.9251937002344977,0.406,0.03435112807463533,0.044,25.0,20.2,4.6,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.04,0.05,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,2.7492331224356397,0.414,0.031304951684997036,0.039999999999999994,25.0,20.6,4.2,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.04,0.05,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,2.839442000233514,0.396,0.018165902124584927,0.046,25.0,19.6,5.0,0.4,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.04,0.05,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,2.903127398041612,0.404,0.0304959013639538,0.041999999999999996,25.0,20.0,4.6,0.4,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.08,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,2.699962332765348,0.4,0.031622776601683784,0.05,25.0,20.0,5.0,0.0,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.08,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,2.7921026249095418,0.386,0.024083189157584593,0.054000000000000006,25.0,19.2,5.6,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.08,0.01,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,2.8189361484713547,0.382,0.030331501776206193,0.05600000000000001,25.0,19.0,5.8,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,2.656352873481952,0.396,0.030495901363953838,0.046,25.0,19.6,5.0,0.4,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,2.7176688448260498,0.38,0.019999999999999997,0.048,25.0,18.6,5.6,0.8,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.3,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,2.7803013847412252,0.378,0.025884358211089552,0.052000000000000005,25.0,18.6,5.8,0.6,0.0,1.0
