label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,action_selection_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170941_324992_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed01,1.0,4.0,0.9993577599525452,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170945_241818_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed02,1.0,4.0,0.9995708465576172,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170949_401982_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed03,1.0,4.0,0.9989370703697205,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170953_279627_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed04,1.0,4.0,0.9992282390594482,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170957_391781_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed05,1.0,4.0,0.9990659356117249,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_171001_503055_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed01,0.16,1.89,0.11349193751811981,12,0.04,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_171006_383273_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed02,0.46,2.205,0.44663262367248535,9,0.13,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_171015_109010_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed03,0.57,2.3225,0.48709678649902344,4,0.49,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_171019_048110_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed04,0.56,2.4,0.5475613474845886,9,0.39,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_171023_051305_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed05,0.28,1.9575,0.22385352849960327,12,0.1,100
