label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,27,3,0.5133333333333333,0.08082903768654767,0.5028582712014517,0.09132918583230945,2.4916666666666667,0.08836477427874366,0.0,0.0,0.0,0.13333333333333333
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,28,3,0.51,0.0866025403784439,0.5156308015187582,0.07530661240364117,2.47,0.09987492177719078,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,29,3,0.51,0.09539392014169452,0.5078155199686686,0.09382095830172721,2.48,0.12971121771072852,0.0,0.0,0.0,0.09666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,30,3,0.5133333333333333,0.08144527815247082,0.5106336871782938,0.08416085270898693,2.481666666666667,0.10503967504392496,0.0,0.0,0.0,0.09333333333333334
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,31,3,0.5166666666666667,0.0850490054811538,0.5117455820242564,0.07892003203076957,2.4883333333333333,0.11503622617824931,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,32,3,0.5033333333333333,0.10263202878893771,0.5143741071224213,0.09582005086068153,2.481666666666667,0.15510748961069984,0.0,0.0,0.0,0.08666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,33,3,0.5,0.10535653752852735,0.4930020868778229,0.10257023607935749,2.5,0.18083141320025117,0.0,0.0,0.0,0.13333333333333333
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,34,3,0.49666666666666665,0.11015141094572203,0.5009958545366923,0.10110103966353254,2.4883333333333333,0.20702254305590337,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,35,3,0.4766666666666666,0.11590225767142473,0.4814217885335286,0.10744767512529439,2.4483333333333337,0.2398089517372805,0.0,0.0,0.0,0.10999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,36,3,0.4633333333333333,0.12013880860626727,0.4651705821355184,0.11793388720108199,2.4266666666666667,0.2400173604832228,0.0,0.0,0.0,0.12666666666666668
