label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,initial_intensity_mean,initial_intensity_std,exploration_std,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.08,5,50,experiments/runs/20260511_170602_007724_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p08_seed05,0.30268416492748335,30.268416492748333,0.4293954602458433,0.00791686126362369,0.062434747844825444,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.08,1,50,experiments/runs/20260511_170602_126257_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p08_seed01,0.3075462103089893,30.75462103089893,0.4349043229419838,0.005416793819690674,0.06573534665470236,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.08,2,50,experiments/runs/20260511_170602_241911_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p08_seed02,0.30424001590821076,30.424001590821078,0.4380372764667637,0.0070484006561786884,0.06376226882797775,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.08,3,50,experiments/runs/20260511_170602_359201_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p08_seed03,0.3053426575829253,30.53426575829253,0.43684112374987244,0.005059676311753132,0.06492338298724798,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.08,4,50,experiments/runs/20260511_170602_477471_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p08_seed04,0.307759591353048,30.7759591353048,0.43393204470533,0.00640553934177598,0.06544769187684782,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.08,5,50,experiments/runs/20260511_170602_600396_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p08_seed05,0.30268416492748335,30.268416492748333,0.4293954602458433,0.00791686126362369,0.062434747844825444,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.08,1,50,experiments/runs/20260511_170602_722425_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p05_e0p08_seed01,0.3075461890755071,30.75461890755071,0.4349038596921219,0.00541692097297901,0.06573527393969003,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.08,2,50,experiments/runs/20260511_170602_885198_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p05_e0p08_seed02,0.3042402164406657,30.42402164406657,0.4380366446129013,0.0070487298222088254,0.06376222411415887,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.08,3,50,experiments/runs/20260511_170603_049580_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p05_e0p08_seed03,0.3053422392523024,30.534223925230243,0.436841330690325,0.005060113016018163,0.06492304534555304,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.08,4,50,experiments/runs/20260511_170603_209796_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p05_e0p08_seed04,0.3077593986662973,30.77593986662973,0.43393217795476813,0.006406142438789579,0.06544739819671225,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.08,5,50,experiments/runs/20260511_170603_370020_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p05_e0p08_seed05,0.30268451534981233,30.26845153498123,0.42939474925435567,0.007916011230478904,0.062435176922564256,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.08,1,50,experiments/runs/20260511_170603_530004_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p08_seed01,0.3075461760118409,30.754617601184094,0.4349038855909865,0.0054169209767553775,0.0657352689916724,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.08,2,50,experiments/runs/20260511_170603_691355_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p08_seed02,0.3042402070960777,30.424020709607767,0.43803666491759263,0.007048729834588252,0.06376222050711705,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.08,3,50,experiments/runs/20260511_170603_853077_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p08_seed03,0.30534229790764766,30.53422979076477,0.43684119636226887,0.0050601129904355975,0.06492306741436338,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.08,4,50,experiments/runs/20260511_170604_017564_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p08_seed04,0.3077594171734631,30.775941717346313,0.43393212839359374,0.0064061424749546824,0.0654474046226017,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.08,5,50,experiments/runs/20260511_170604_182896_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p08_seed05,0.30268451534981233,30.26845153498123,0.42939474925435567,0.007916011230478904,0.062435176922564256,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.02,1,50,experiments/runs/20260511_170604_341634_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p2_e0p02_seed01,0.30566793372317663,30.56679337231766,0.4351541380296399,0.000338594529153119,0.06666231354683587,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.02,2,50,experiments/runs/20260511_170604_459864_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p2_e0p02_seed02,0.30483661877859397,30.483661877859397,0.4359488229872666,0.0004405274586681211,0.06627502749886308,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.02,3,50,experiments/runs/20260511_170604_582953_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p2_e0p02_seed03,0.30511431560838154,30.51143156083815,0.4356443162001208,0.0003162252769767504,0.0664347359858095,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.02,4,50,experiments/runs/20260511_170604_703316_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p2_e0p02_seed04,0.3057209770093092,30.57209770093092,0.4349101836396997,0.0004003994357453659,0.0666557264539933,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.02,5,50,experiments/runs/20260511_170604_821941_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p2_e0p02_seed05,0.3044640657143976,30.446406571439763,0.4337527823964832,0.0004947585276387025,0.06600449111930233,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.2,0.02,1,50,experiments/runs/20260511_170604_939091_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p2_e0p02_seed01,0.30566793372317663,30.56679337231766,0.4351541380296399,0.000338594529153119,0.06666231354683587,1
