toy,scenario,device,agent_count,epochs,seed,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,cache_refresh,0.0019170360174030066
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,post_local_readout,0.0006007930496707559
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,local_step,0.06559238501358777
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,select_peers,0.00022683199495077133
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,social_step,2.6680994778871536e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,sample_actions,1.0220101103186607e-06
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,commit_actions,5.4209958761930466e-06
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,post_step_state_policy,6.231898441910744e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,update_payoff_ema,2.5999033823609352e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,update_reputation_ema,1.9086990505456924e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,mobility_swaps,2.5348039343953133e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,finalize_hook_step,5.648704245686531e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,hooked_step_total,0.06693361606448889
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,aggregate_row,0.0027058070991188288
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,write_aggregate,8.195603732019663e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,0,neural_policy,none,make_run_dir,0.0006751739419996738
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,0,neural_policy,none,write_metadata,0.004100910970009863
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,0,neural_policy,none,initial_state,0.09467050398234278
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,0,neural_policy,none,writer_setup,0.0012726810527965426
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,0,neural_policy,none,initial_step_result,0.5012829810148105
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,0,neural_policy,none,initial_aggregate_row,0.08919115294702351
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,0,neural_policy,none,write_initial_aggregate,9.769597090780735e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,sample_revision_mask,4.778103902935982e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,build_step_context,1.877604518085718e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,neural_context_peers,9.097973816096783e-06
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,build_observations,0.0009907850762829185
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,policy_readout,0.0007662069983780384
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,decision_selection,0.3691047619795427
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,local_training,0.5113643179647624
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,cache_refresh,0.0024916999973356724
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,post_local_readout,0.0006035680416971445
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,local_step,0.8864703639410436
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,select_peers,0.0006375430384650826
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,social_step,0.00037847005296498537
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,sample_actions,1.1872965842485428e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,commit_actions,1.756299752742052e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,post_step_state_policy,5.835108458995819e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,update_payoff_ema,8.232600521296263e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,update_reputation_ema,2.5066896341741085e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,mobility_swaps,3.729097079485655e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,finalize_hook_step,8.989102207124233e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,hooked_step_total,0.8891964890062809
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,aggregate_row,0.003893246059305966
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,1,neural_policy,none,write_aggregate,0.00013792305253446102
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,sample_revision_mask,7.004302460700274e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,build_step_context,2.4236971512436867e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,neural_context_peers,1.1101015843451023e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,build_observations,0.0011438661022111773
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,policy_readout,0.00034928403329104185
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,decision_selection,0.0008042299887165427
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,local_training,0.12857676902785897
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,cache_refresh,0.002325273002497852
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,post_local_readout,0.0006735620554536581
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,local_step,0.13475890806876123
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,select_peers,0.0009578519966453314
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,social_step,0.0009087179787456989
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,sample_actions,7.483991794288158e-06
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,commit_actions,1.889606937766075e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,post_step_state_policy,6.643601227551699e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,update_payoff_ema,4.8271962441504e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,update_reputation_ema,3.0588009394705296e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,mobility_swaps,4.128797445446253e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,finalize_hook_step,0.00010905705858021975
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,hooked_step_total,0.1383974381024018
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,aggregate_row,0.004036968923173845
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,2,neural_policy,none,write_aggregate,0.00019734492525458336
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,sample_revision_mask,0.00010815600398927927
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,build_step_context,4.013604484498501e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,neural_context_peers,1.0860967449843884e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,build_observations,0.0012760070385411382
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,policy_readout,0.0010691339848563075
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,decision_selection,0.0010851940605789423
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,local_training,0.13779232802335173
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,cache_refresh,0.0021434170193970203
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,post_local_readout,0.0005660770693793893
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,local_step,0.14476503001060337
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,select_peers,0.0002737409668043256
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,social_step,9.081303142011166e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,sample_actions,7.604947313666344e-06
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,commit_actions,0.0010802849428728223
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,post_step_state_policy,0.00011009001173079014
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,update_payoff_ema,0.00032577000092715025
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,update_reputation_ema,5.678902380168438e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,mobility_swaps,5.816004704684019e-05
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,finalize_hook_step,0.0003288349835202098
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,hooked_step_total,0.1485874509671703
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,aggregate_row,0.002685427898541093
toy2,neural_none,cuda,100,3,4,toy2_gpu_core_neural_none_100_cuda,3,neural_policy,none,write_aggregate,0.00010010995902121067
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,0,neural_policy,output_average,make_run_dir,0.0002948399633169174
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,0,neural_policy,output_average,write_metadata,0.003208453068509698
