regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,alpha,selection_strength,payoff_transform,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
stag_hunt,stag_hunt,fermi_imitation,none,none,0.5,0.0,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,0.0,1.0,linear,5,0.038,0.028635642126552705,1.986,0.01781852968120543,0.037983907759189604,0.02,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.9,0.0,1.0,linear,5,0.546,0.37647045036762183,2.8280000000000003,0.8183565848699454,0.5408412113785743,0.534,100.0
stag_hunt,stag_hunt,fermi_imitation,output_average,none,0.1,0.25,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,1.0
stag_hunt,stag_hunt,fermi_imitation,output_average,none,0.3,0.25,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,1.0
stag_hunt,stag_hunt,fermi_imitation,output_average,none,0.5,0.25,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,1.0
stag_hunt,stag_hunt,fermi_imitation,output_average,none,0.7,0.25,1.0,linear,5,0.002,0.00447213595499958,1.998,0.004472135954999583,0.0016900185495615006,0.002,1.0
stag_hunt,stag_hunt,fermi_imitation,output_average,none,0.9,0.25,1.0,linear,5,0.642,0.35555590277760823,3.035,0.8474668135095321,0.6312494412064552,0.618,1.0
stag_hunt,stag_hunt,neural_policy,none,none,0.1,0.0,1.0,linear,5,0.196,0.0270185121722126,1.9810000000000003,0.037980258029665835,0.19553071558475493,0.082,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.3,0.0,1.0,linear,5,0.198,0.019235384061671346,1.9760000000000002,0.05951890455981188,0.19701962769031525,0.078,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.5,0.0,1.0,linear,5,0.196,0.016733200530681516,1.972,0.05707451270050412,0.19836421310901642,0.074,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,0.0,1.0,linear,5,0.20600000000000002,0.027018512172212586,1.98,0.0744143803306861,0.19960749745368958,0.076,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.9,0.0,1.0,linear,5,0.21200000000000002,0.030331501776206193,1.9829999999999999,0.047249338619709834,0.20556336641311646,0.086,100.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.1,0.25,1.0,linear,5,0.10800000000000001,0.029495762407505257,1.9490000000000003,0.01917028951268074,0.07882831320166588,0.038,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.3,0.25,1.0,linear,5,0.10400000000000001,0.027018512172212596,1.953,0.03510697936308403,0.07849078327417373,0.038,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.5,0.25,1.0,linear,5,0.10400000000000001,0.03049590136395381,1.9560000000000002,0.03507135583350045,0.07933450862765312,0.039999999999999994,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.7,0.25,1.0,linear,5,0.11000000000000001,0.025495097567963927,1.953,0.038503246616357005,0.08101382702589036,0.038,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.9,0.25,1.0,linear,5,0.10600000000000001,0.03286335345030997,1.951,0.032287768581925926,0.0794580526649952,0.038,1.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.1,0.0,1.0,linear,1,1.5091079792956772e-16,,1.9999999999999998,,1.5091079792956772e-16,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.3,0.0,1.0,linear,1,1.8564786204817357e-15,,1.9999999999999967,,1.8564786204817357e-15,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.5,0.0,1.0,linear,1,4.881933852516003e-14,,1.9999999999999025,,4.881933852516003e-14,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.7,0.0,1.0,linear,1,0.9999889636644054,,3.999926426522439,,0.9999889636644054,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.9,0.0,1.0,linear,1,0.9999998932270588,,3.999999288180588,,0.9999998932270588,0.0,0.0
