prior,learning,p0,epoch,seeds,coop_mean,policy_pre_mean,policy_local_mean,policy_social_mean,local_loss_mean,revised_local_loss_mean,revision_mean
default,False,0.5,0,3,0.48333333333333334,0.501064270734787,0.501064270734787,0.501064270734787,0.0,0.0,0.0
default,False,0.5,1,3,0.48666666666666664,0.501064270734787,0.501064270734787,0.501064270734787,0.0,0.0,0.07666666666666667
default,False,0.5,5,3,0.4833333333333334,0.5005372961362203,0.5005372961362203,0.5005372961362203,0.0,0.0,0.09666666666666668
default,False,0.5,10,3,0.49666666666666665,0.5010086198647817,0.5010086198647817,0.5010086198647817,0.0,0.0,0.09333333333333334
default,False,0.5,25,3,0.49,0.5025502741336823,0.5025502741336823,0.5025502741336823,0.0,0.0,0.11666666666666668
default,False,0.5,50,3,0.5433333333333333,0.5018007059892019,0.5018007059892019,0.5018007059892019,0.0,0.0,0.11
default,False,0.6,0,3,0.5866666666666666,0.501155823469162,0.501155823469162,0.501155823469162,0.0,0.0,0.0
default,False,0.6,1,3,0.58,0.501155823469162,0.501155823469162,0.501155823469162,0.0,0.0,0.07666666666666667
default,False,0.6,5,3,0.5499999999999999,0.500330259402593,0.500330259402593,0.500330259402593,0.0,0.0,0.09666666666666668
default,False,0.6,10,3,0.54,0.5008254845937093,0.5008254845937093,0.5008254845937093,0.0,0.0,0.09333333333333334
default,False,0.6,25,3,0.49666666666666665,0.5027318994204203,0.5027318994204203,0.5027318994204203,0.0,0.0,0.11666666666666668
default,False,0.6,50,3,0.5433333333333333,0.5018040041128794,0.5018040041128794,0.5018040041128794,0.0,0.0,0.11
default,False,0.7,0,3,0.71,0.5011892716089884,0.5011892716089884,0.5011892716089884,0.0,0.0,0.0
default,False,0.7,1,3,0.69,0.5011892716089884,0.5011892716089884,0.5011892716089884,0.0,0.0,0.07666666666666667
default,False,0.7,5,3,0.6366666666666667,0.5010493497053782,0.5010493497053782,0.5010493497053782,0.0,0.0,0.09666666666666668
default,False,0.7,10,3,0.5966666666666667,0.5017373363176981,0.5017373363176981,0.5017373363176981,0.0,0.0,0.09333333333333334
default,False,0.7,25,3,0.51,0.5031127035617828,0.5031127035617828,0.5031127035617828,0.0,0.0,0.11666666666666668
default,False,0.7,50,3,0.5466666666666666,0.5018020570278168,0.5018020570278168,0.5018020570278168,0.0,0.0,0.11
default,True,0.5,0,3,0.48333333333333334,0.501064270734787,0.501064270734787,0.501064270734787,0.0,0.0,0.0
default,True,0.5,1,3,0.48666666666666664,0.501064270734787,0.500912606716156,0.500912606716156,0.0297321771085262,0.39170512364798293,0.07666666666666667
default,True,0.5,5,3,0.48333333333333334,0.5015697379906973,0.5009864866733551,0.5009864866733551,0.0209325684793293,0.21639092911624622,0.09666666666666668
default,True,0.5,10,3,0.49666666666666665,0.501420239607493,0.500658373037974,0.500658373037974,0.013128983507243236,0.1350180525191579,0.09333333333333334
default,True,0.5,25,3,0.4766666666666666,0.4890649616718292,0.48764220873514813,0.48764220873514813,0.0016686444279426999,0.018538410641464498,0.11666666666666668
default,True,0.5,50,3,0.5266666666666667,0.46637781461079914,0.46576250592867535,0.46576250592867535,-0.0014726553764194,-0.020430083506995333,0.11
default,True,0.6,0,3,0.5866666666666666,0.501155823469162,0.501155823469162,0.501155823469162,0.0,0.0,0.0
default,True,0.6,1,3,0.58,0.501155823469162,0.5009754300117493,0.5009754300117493,0.034056317657232237,0.45291533951377455,0.07666666666666667
default,True,0.6,5,3,0.5499999999999999,0.5015658140182495,0.5009525020917257,0.5009525020917257,0.022282718090961332,0.23200849170228377,0.09666666666666668
default,True,0.6,10,3,0.54,0.5015663504600525,0.5008037388324738,0.5008037388324738,0.0133799437891381,0.1387471644927493,0.09333333333333334
default,True,0.6,25,3,0.48333333333333334,0.49049683411916095,0.48943061629931134,0.48943061629931134,0.0017968455515801668,0.019503488189595363,0.11666666666666668
default,True,0.6,50,3,0.5266666666666667,0.4692390561103821,0.4686502118905385,0.4686502118905385,-0.0017999037060265333,-0.022975290914535765,0.11
default,True,0.7,0,3,0.71,0.5011892716089884,0.5011892716089884,0.5011892716089884,0.0,0.0,0.0
default,True,0.7,1,3,0.69,0.5011892716089884,0.5009703636169434,0.5009703636169434,0.036409970124562534,0.47616779747463406,0.07666666666666667
default,True,0.7,5,3,0.6366666666666667,0.5031261046727499,0.5026383300622305,0.5026383300622305,0.02523385931427277,0.2657727704800007,0.09666666666666668
default,True,0.7,10,3,0.6,0.5039762159188589,0.5032799243927002,0.5032799243927002,0.014783526745935268,0.1519416629741288,0.09333333333333334
default,True,0.7,25,3,0.5066666666666667,0.494170476992925,0.49323415756225586,0.49323415756225586,-0.00021119126351553337,0.0007398160569576003,0.11666666666666668
default,True,0.7,50,3,0.5333333333333333,0.47701883316040034,0.4765927493572235,0.4765927493572235,-0.0017554660808915667,-0.022822939177366105,0.11
match_p0,False,0.5,0,3,0.48333333333333334,0.5,0.5,0.5,0.0,0.0,0.0
match_p0,False,0.5,1,3,0.49333333333333335,0.5,0.5,0.5,0.0,0.0,0.07666666666666667
match_p0,False,0.5,5,3,0.49333333333333335,0.5,0.5,0.5,0.0,0.0,0.09666666666666668
match_p0,False,0.5,10,3,0.5033333333333333,0.5,0.5,0.5,0.0,0.0,0.09333333333333334
match_p0,False,0.5,25,3,0.49,0.5,0.5,0.5,0.0,0.0,0.11666666666666668
match_p0,False,0.5,50,3,0.5533333333333333,0.5,0.5,0.5,0.0,0.0,0.11
match_p0,False,0.6,0,3,0.5866666666666666,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0,0.0,0.0
match_p0,False,0.6,1,3,0.59,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0,0.0,0.07666666666666667
match_p0,False,0.6,5,3,0.59,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0,0.0,0.09666666666666668
match_p0,False,0.6,10,3,0.6066666666666666,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0,0.0,0.09333333333333334
match_p0,False,0.6,25,3,0.5966666666666667,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0,0.0,0.11666666666666668
match_p0,False,0.6,50,3,0.64,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0,0.0,0.11
match_p0,False,0.7,0,3,0.71,0.6999998688697815,0.6999998688697815,0.6999998688697815,0.0,0.0,0.0
